aga,اݢ
beraga,براݢ
angga,اڠݢ
berangga,براڠݢ
bangga,بڠݢ
berbangga,بربڠݢ
membangga,ممبڠݢ
beg,بيݢ
besitiga,بسيتيݢ
bujangga,بوجڠݢ
cangga,چڠݢ
cega,چيݢ
bercega,برچيݢ
mencega,منچيݢ
cenangga,چنڠݢ
cerangga,چرڠݢ
ceriga,چريݢ
curiga,چوريݢ
bercuriga,برچوريݢ
dewangga,ديواڠݢ
terduga-duga,تردوݢا - دوݢ
dwilingga,دويليڠݢ
gableg,ݢابلݢ
geliga,ݢليݢ
bergeliga,برݢليݢ
gerebeg,ݢربݢ
gudig,ݢوديݢ
guliga,ݢوليݢ
hingga,هيڠݢ
berhingga,برهيڠݢ
sehingga,سهيڠݢ
terhingga,ترهيڠݢ
iga,ايݢ
jag,جݢ
jig,جيݢ
jingga,جيڠݢ
karengga,کارڠݢ
pengkatalogan,ڤڠکاتالوݢنݢ
kenanga,کناڠاݢ
kerengga,کرڠݢ
kesinga,کسيڠاݢ
konga,کوڠاݢ
mangga,مڠݢ
bermangga,برمڠݢ
dimangga,دمڠݢ
memangga,ممڠݢ
mega,ميݢ
mentega,منتيݢ
merdangga,مردڠݢ
pengga,ڤڠݢ
persangga,ڤرسڠݢ
plag,ڤلݢ
pujangga,ڤوجڠݢ
rangga,رڠݢ
berangga,برڠݢ
rembega,رمبيݢ
rengga,ريڠݢ
ringga,ريڠݢ
rongga,روڠݢ
berongga,بروڠݢ
merongga,مروڠݢ
runggu-rangga,روڠݢو-رڠݢ
sangga,سڠݢ
bersangga,برسڠݢ
disangga,دسڠݢ
menyangga,مڽڠݢ
penyangga,ڤڽڠݢ
tersangga,ترسڠݢ
semangga,سمڠݢ
semutega,سموتيݢ
serangga,سرڠݢ
setiga,ستيݢ
singga,سيڠݢ
stag,ستݢ
sukutiga,سوکوتيݢ
sungga,سوڠݢ
menyungga,مڽوڠݢ
taiga,تايݢ
tangga,تڠݢ
bertangga,برتڠݢ
setangga,ستڠݢ
tetangga,تتڠݢ
bertetangga,برتتڠݢ
tiga,تيݢ
bertiga,برتيݢ
ketiga,کتيݢ
ketiga-tiga,کتيݢا-تيݢ
mempertiga,ممڤرتيݢ
meniga,منيݢ
pertiga,ڤرتيݢ
sepertiga,سڤرتيݢ
setiga,ستيݢ
wig,ويݢ
laga,لاݢ
berlaga,برلاݢ
lega,ليݢ
melega,مليݢ
lembega,لمبيݢ
lingga,ليڠݢ
